2020-04-17 14:30:01.373 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:30:01.373 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:30:01.373 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:30:01.375 [Thread-2] INFO  ServerWorker - New command INFO from /127.0.0.1:65309.
2020-04-17 14:30:01.375 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:30:01.375 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:30:01.375 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:30:01.377 [Thread-2] INFO  ServerWorker - New command SHOW from /127.0.0.1:65309.
2020-04-17 14:30:01.377 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:30:01.377 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:30:01.377 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:30:01.379 [Thread-2] INFO  ServerWorker - New command SHOW from /127.0.0.1:65309.
2020-04-17 14:30:01.379 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:30:01.379 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:30:01.379 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:30:01.382 [Thread-2] INFO  ServerWorker - New command ADD_IF_MIN from /127.0.0.1:65309.
2020-04-17 14:30:01.382 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:30:01.382 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:30:01.382 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:30:01.383 [Thread-2] INFO  ServerWorker - New command INFO from /127.0.0.1:65309.
2020-04-17 14:30:01.383 [Thread-2] INFO  ServerWorker - Command complete.
2020-04-17 14:30:01.383 [Thread-2] INFO  ServerWorker - Sending server message.
2020-04-17 14:30:01.383 [Thread-2] INFO  Sender - Sending 1 packages.
2020-04-17 14:30:01.385 [Thread-2] INFO  ServerWorker - New command PRINT_FIELD_DESCENDING_PRICE from /127.0.0.1:65309.
